adapter	options	PER	KER-lvs	KER-no_lvs	KER-ctxt
pyopenjtalk	-	1.31%*	4.75%	5.02%	8.62%
pyopenjtalk_plus	use_sudachi_kanji_yomi=True, use_tsqyomi=True, revert_long_vowels=True, revert_yotsugana=True	—	—	1.60%	2.33%
pyopenjtalk_plus	use_sudachi_kanji_yomi=True, use_tsqyomi=True, revert_long_vowels=False, revert_yotsugana=False	1.10%*	4.54%	4.63%	8.58%
pyopenjtalk_plus	use_sudachi_kanji_yomi=False, use_tsqyomi=True, revert_long_vowels=True, revert_yotsugana=True	—	—	1.60%	2.33%
pyopenjtalk_plus	use_sudachi_kanji_yomi=False, use_tsqyomi=True, revert_long_vowels=False, revert_yotsugana=False	1.10%*	4.54%	4.63%	8.58%
pyopenjtalk_plus	use_sudachi_kanji_yomi=True, use_tsqyomi=False, revert_long_vowels=True, revert_yotsugana=True	—	—	1.62%	2.34%
pyopenjtalk_plus	use_sudachi_kanji_yomi=True, use_tsqyomi=False, revert_long_vowels=False, revert_yotsugana=False	1.09%*	4.58%	4.65%	8.57%
pyopenjtalk_plus	use_sudachi_kanji_yomi=False, use_tsqyomi=False, revert_long_vowels=True, revert_yotsugana=True	—	—	1.64%	2.32%
pyopenjtalk_plus	use_sudachi_kanji_yomi=False, use_tsqyomi=False, revert_long_vowels=False, revert_yotsugana=False	1.11%*	4.57%	4.66%	8.57%
haqumei	normalize_iu=none, revert_long_vowels=True, revert_yotsugana=True	—	—	0.81%	2.29%
haqumei	normalize_iu=none, revert_long_vowels=False, revert_yotsugana=False	1.00%*	4.45%	3.82%	8.53%
haqumei	normalize_iu=yuu, revert_long_vowels=True, revert_yotsugana=True	—	—	0.87%	2.40%
haqumei	normalize_iu=yuu, revert_long_vowels=False, revert_yotsugana=False	0.96%*	4.46%	3.88%	8.65%
haqumei	normalize_iu=yuu-base, revert_long_vowels=True, revert_yotsugana=True	—	—	0.84%	2.40%
haqumei	normalize_iu=yuu-base, revert_long_vowels=False, revert_yotsugana=False	0.87%*	4.41%	3.85%	8.64%
